Straßenname	ungerade Hausnummer	gerade Hausnummer	Wahlkreis	Ortschaft	Wahlbezirk
Jahnallee	61-73		7		7161
Jahnstraße	21	2-34	3	Liebertwolkwitz	3419
Jahnweg	1-5	2-64	2	Engelsdorf	2711
Jakobiwinkel	3	2	7	BöhLindenthalz-Ehrenberg	7439
Jaspisstraße	2-54		2	Engelsdorf	2709
Jenaer Straße	1-45		6		6029
Joachim-Gottschalk-Weg	1-47	2-36	3		3319
Jöcherstraße	1-5	2-12	2		2201
Jochmontagestraße	11	4-8	8		8111
Johannastraße	1-13	2A-18	4		4410
Johann-Eck-Straße	2		1		2020
Karl-Jungbluth-Straße	23-45		4		4349
Karl-Liebknecht-Straße	1-1A	2-2A	0		0310
Karl-Liebknecht-Straße	5-7	6-34	0		0339
Karl-Liebknecht-Straße	9-23		0		0341
Karl-Liebknecht-Straße	27-33		0		0339
Karl-Liebknecht-Straße	43-57	36-44	0		0338
Karl-Liebknecht-Straße	46-62		4		4011
Karl-Liebknecht-Straße	59-79		4		4019
Karl-Liebknecht-Straße	64-90		4		4029
Karl-Liebknecht-Straße	81-109		4		4039
Karl-Liebknecht-Straße	113-117A		4		4069
Karl-Liebknecht-Straße	123-139	92-110	4		4089
Karl-Liebknecht-Straße	141-141A	112-128	4		4079
Karl-Liebknecht-Straße	132-152		4		4111
Karl-Liebknecht-Straße	143-155		4		4121
Karl-Liebknecht-Straße	154		4		4109
Karl-Liebknecht-Straße	157-169		4		4129
Karl-Mannsfeld-Straße	1-19	2-16	8	Lindenthal	8321
Karl-Marx-Platz	1-3	2	8	Lindenthal	8309
Karl-Marx-Straße	1-65	2-62	9	Wiederitzsch	9509
Karl-Marx-Straße	67-81	66-78	9	Wiederitzsch	9519
Karl-Moor-Weg	1A-15		1		1500
Karl-Rothe-Straße	2-4		0		0619
Karl-Rothe-Straße	1-17	8-16	0		0609
Karl-Schurz-Straße	1-41	2-66	7		7329
Karl-Siegismund-Straße	2-2A		3		3089
Karl-Siegismund-Straße	12-20		0		0241
Karl-Siegismund-Straße	24		3		3089
Karlsruher Straße	1-25		6		6239
Karlsruher Straße	29-31	36-54	6		6219
Karlstädter Straße	1-21	2-24	5		6311
Karlstraße	1-31		2	Mölkau	2629
Karlstraße	33A-67	2-72	2	Mölkau	2609
Karl-Tauchnitz-Straße	1-25		0		0301
Karl-Tauchnitz-Straße	2-12		0		0449
Karl-Tauchnitz-Straße	31-37	26-30	0		0320
Karl-Vogel-Straße	13-21		2		2201
Karl-Winkler-Straße	1-5A	2-14A	8	Lindenthal	8313
Karl-Winkler-Straße	7-9		8	Lindenthal	8311
Karl-Winkler-Straße	16-18		8	Lindenthal	8312
Kärrnerstraße	1-17		3	Holzhausen	3519
Kärrnerstraße	19		3	Holzhausen	3529
Kärrnerstraße	25-51	2-70	3	Holzhausen	3509
Kärrnerstraße	53-83		3	Holzhausen	3529
Kärrnerweg	1-25	12-14	3		3130
Kasseler Straße	2-34		8		9009
Kasseler Straße	1-39	36-50	8		9059
Kastanienallee	27-79	24-84	7	BöhLindenthalz-Ehrenberg	7421
Kastanienallee	81-119	86-124	7	BöhLindenthalz-Ehrenberg	7419
Kastanienring	1-17	2-18	2	Mölkau	2629
Kastanienstraße	1-5	2-8	9	Seehausen	9419
Kastanienweg	1-13		7	Rückmarsdorf	7510
Kästnerbogen	2-62		1		1510
Kastorweg	1-3	2-4	7	Burghausen	7501
Katharinenstraße	1-23	2-10	0		0019
Käthe-Kollwitz-Straße	1-21		0		0449
Käthe-Kollwitz-Straße	4-10		0		0421
Käthe-Kollwitz-Straße	27-37	12-28	0		0429
Käthe-Kollwitz-Straße	65-81	46-58	0		0419
Käthe-Kollwitz-Straße	83-115	60-84	0		0400
Katzmannstraße	1-17	2-12	9		1319
Katzstraße	1-21	2-48	3		3209
Kaulbachweg	1-17	4-26	2		2489
Kegelweg	1-5	2-6	3		3211
Keilstraße	1-1E	4-6	0		0621
Kelbestraße	1-5	2-6	2	Mölkau	2619
Keplerstraße	13-41	14-44	8		8009
Kerbelweg	1-27	2-36	9	Wiederitzsch	9531
Kernstraße	1-5	2-4	8		8071
Kickerlingsberg	2-14		0		0619
Kickerlingsberg	3-9A		0		0521
Kickerlingsberg	15-19		8		9081
Kickerlingsberg	16-18		0		0609
Kickerlingsberg	20-26		8		9069
Kiebitzstraße	55-75	20-64	1		1401
Kiefernweg	1-17	2-18	3	Holzhausen	3509
Kochstraße	33-51		4		4089
Kochstraße	34-58		4		4051
Kochstraße	57-63	60-80A	4		4079
Kochstraße	85-121	84-118	4		4111
Kochstraße	122-138		4		4109
Koehlerstraße	7	4-12	1		2069
Kohlenstraße	1		0		0220
Kohlenstraße	2-32A		0		0359
Kohlenstraße	9-11		4		4031
Kohlgartenstraße	11-35		1		2020
Kohlgartenstraße	18-28		1		2039
Kohlgartenstraße	37-61	38-58	1		2059
Kohlgartenstraße	63-71		1		2069
Kohlgartenweg	2-6		2		2221
Kohlgartenweg	3-7		2		2249
Kohlweg	2-24		1		1061
Kohlweg	26-36		1		1079
Kohlweg	51		1		1149
Köhraer Straße	5-13	6-14	4		4159
Kohrener Straße	3-21	6-24	4		4149
Kolbestraße	1-5	2-8	5		5121
Kolmstraße	2-26		3		3151
Kolmstraße	1-111	32-84	3		3161
Koloniestraße	1-7	2-20	8		8102
Kolonnadenstraße	1-21		0		0449
Kolonnadenstraße	23-29	2-30	0		0429
Kolpingweg	1	8-18	5		6311
Komarowstraße	1-29		9		1341
Komarowstraße	2-12		9		1359
Kommandant-Prendel-Allee	61-113		3		3161
Kommandant-Prendel-Allee	76-82		3		3151
Kommandant-Prendel-Allee	84-104		3		3169
Kommandant-Prendel-Allee	106-116		3		3168
Kömmlitzer Weg	3-5	2-4	8	Lindenthal	8309
Königsteinstraße	1-79	48-72	6		6469
Könneritzstraße	2-22		5		5008
Könneritzstraße	1-49	24-46	5		5007
Könneritzstraße	48-58		5		5019
Könneritzstraße	51-71		5		5009
Könneritzstraße	60-72		5		5029
Könneritzstraße	73-107	74-98A	5		5048
Könneritzstraße	100-114		5		5039
Konrad-Hagen-Platz	1-3	2-4	0		4210
Konradstraße	27-33C	30	1		2020
Konradstraße	39-63		1		2109
Konradstraße	65-69	52-72	1		2149
Konstantinstraße	13-29	2-16	1		2020
Kopernikusstraße	5-39	8-42	9		1339
Kornblumenweg	1-21	2-8	9	Wiederitzsch	9519
Körnerplatz	1-9	2-8	0		0338
Körnerstraße	1-31		0		0338
Körnerstraße	2-26		4		4011
Körnerstraße	28-52		4		4019
Körnerstraße	39-53		0		0359
Körnerstraße	54-68		4		4031
Körnerweg	1-11	2-14	2	Mölkau	2601
Kornweg	1-7		9	Seehausen	9400
Korolenkostraße	1-35	2-36	9		1301
Kosakenweg	1-3	8	3		3319
Kösner Straße	1-15C	2-8	7		7029
Kossaer Straße	1-17	2	9	Wiederitzsch	9531
Köstritzer Straße	1-53	2-14	5		6311
Kötzschauer Straße	1-9B	2-10	5		5249
Kötzschkestraße	1-11	2-24	2		2330
Krakauer Straße	2		5		6311
Kranichweg	1-51	2-46	9	Seehausen	9400
Krätzbergstraße	1-21A	2-16A	1		1500
Krätzbergstraße	23-35	18-50	1		1510
Krautbreite	1-15		7	Rückmarsdorf	7529
Krautgartenweg	1-61	2	5	Hartmannsdorf-Knautnaundorf	5509
Kregelstraße	9-43A	2-14	3		3089
Kremser Weg	3-11	2-10	1		1510
Kreuzdornstraße	1-7		2		2420
Kreuzdornstraße	9-23	2-24	2		2410
Kreuzstraße	1-19	2-26	0		0129
Kreuzstraße	31-47	38-52	1		2039
Lange Trift	2-6		8	Lindenthal	8321
Lange Trift	5-15		8	Lindenthal	8313
Langhansstraße	1-23		2		2321
Lärchenweg	3-11A	2A-8B	3	Holzhausen	3509
Laubestraße	1-19	2-22	8		8071
Lauchstädter Straße	3-15B	4-18	5		5109
Lauchstädter Straße	17-31	20-50	5		5119
Lauchstädter Straße	33-57		5		5129
Lauerscher Weg	7-69	8-112	5		5339
Laurentiusstraße	1-7	2-6	7		7329
Lauschaer Weg	3-9	4-6	6		6029
Lausener Bogen	1-7	2-36	6		6491
Lausener Dorfplatz	1-17	4-16	6		6491
Lausener Straße	1-9		6		6469
Lausener Straße	11-17		6		6489
Lausener Straße	21-35	2-42	6		6491
Lausicker Straße	31-37	14-30	3		3168
Lausicker Straße	41-59	32-60	3		3169
Lausicker Straße	59A-89	62-84	3		3161
Lausner Weg	1-97	4-76B	5		6312
Lavendelweg	7	4	9	Wiederitzsch	9531
Lazarusstraße	1-29	2-40	1		1009
Leanderweg	1-5	2-12	0		4210
Lehdenweg	71	2	2		2471
Lehdenweg	40-60		2		2489
Leiblweg	9	2-20	2		2489
Leibnitzstraße	3-19	2-8	3	Liebertwolkwitz	3409
Leibnizstraße	1-17		0		0549
Leibnizstraße	19-27	4-30	0		0521
Leidholdstraße	1-17	2-10	7		7219
Leidholdstraße	19-25	12-20	7		7200
Leinestraße	1-11	2-8	4		4402
Leinestraße	29-109	12-58	4		4410
Leinestraße	111		3		3301
Leipziger Straße	11-15	2-48	7	BöhLindenthalz-Ehrenberg	7401
Leipziger Straße	21-65	50A-54	7	BöhLindenthalz-Ehrenberg	7402
Leipziger Straße	67-83	56-120	7	BöhLindenthalz-Ehrenberg	7441
Leipziger Straße	85-115		7	BöhLindenthalz-Ehrenberg	7429
Leipziger Straße	163-233	124-242	7	BöhLindenthalz-Ehrenberg	7439
Leisniger Straße	1-17	2-20	4		4349
Lemseler Weg	1-21	4-26	9		9309
Lenaustraße	1-15	6-14	9		9171
Lene-Voigt-Straße	1-3	2-8	3		3229
Lengefelder Straße	1-19		1		1421
Lengefelder Straße	2-14		1		1439
Lenzstraße	1-41	2-52	2		2321
Leonhard-Frank-Straße	1-63		2		2309
Leonhard-Frank-Straße	2-76		2		2311
Leonhardtstraße	9-17	2A	9		1220
Leonhardtstraße	19-47	2	9		1211
Leonhardtstraße	14-22		9		1211
Leonhardtstraße	24-38		9		1209
Leopoldstraße	1-31	12-34	4		4132
Leostraße	1-17	2-4	1		1009
Leo-Tolstoi-Straße	1-95	2-88	9		1301
Leplaystraße	1-13		0		0200
Lerchengrund	1-27	4-24	9	Wiederitzsch	9511
Lercheninsel	1	6-8	2	Mölkau	2609
Lerchenrain	1-69	2-26	0		4210
Lerchenweg	1-21	2-8	1	Plaußig	1520
Lermastraße	1-19	2-18	1		1510
Lermontowstraße	5-35	8-38	9		1339
Les-Epesses-Straße	1-13		3	Liebertwolkwitz	3419
Les-Epesses-Straße	2-12		3	Liebertwolkwitz	3439
Lessingstraße	1-29	2-32	0		0421
Lessingweg	1-41	2-50A	2	Mölkau	2601
Leuckartstraße	3	2-12	3		3219
Leunaer Weg	1-11		7		7200
Leutzscher Straße	1-69	2-38	7	Rückmarsdorf	7510
Lewienstraße	2-12		8	Lindenthal	8309
Libellenstraße	1-79	2-84	5		5339
Libertastraße	3-59	4-58	4		4410
Lichtenbergweg	3-5	2-30	3		3140
Lichtenfelser Straße	1-23	2A-2B	5		6312
Lichtenfelser Straße	4		5		6309
Lidicestraße	1-7	2-16	1		1410
Lößniger Straße	27-79	60A-60B	4		4098
Lößniger Straße	62-74		4		4099
Lotterstraße	1		0		0019
Lotzestraße	10		8		9231
Louis-Fürnberg-Straße	1-21	2	2		2311
Löwenzahnweg	1-7	2-6	9	Wiederitzsch	9509
Luchspfad	1-15	4-14	5		5401
Luckaer Straße	1-7	2-18	5		5259
Luckaer Straße	20-28		5		5249
Lucknerstraße	1-5	2-8	8		8119
Lüderstraße	1-9	6-12	8		9029
Ludolf-Colditz-Straße	7-13		3		3169
Ludolf-Colditz-Straße	15-21	4-48	3		3168
Ludwig-Beck-Straße	1	4-18	9		9129
Ludwig-Beck-Straße	20-28		9		9100
Ludwig-Erhard-Straße	5-49	36	0		0129
Ludwig-Erhard-Straße	51-57A		0		0109
Ludwig-Hupfeld-Straße	1-13		7		7319
Ludwig-Hupfeld-Straße	15-33	2-30	7	BöhLindenthalz-Ehrenberg	7401
Ludwig-Hupfeld-Straße	33A–35		7		7319
Ludwig-Jahn-Straße	2-24		7	BöhLindenthalz-Ehrenberg	7441
Ludwig-Jahn-Straße	7-9		7	BöhLindenthalz-Ehrenberg	7439
Ludwigsburger Straße	1-13	2-24	6		6219
Ludwigstraße	5-49	2-20	1		2009
Ludwigstraße	51-79	30-68	1		2020
Ludwigstraße	81-135	70-112	1		2109
Ludwig-Thoma-Weg	1-5		3		3219
Lukasstraße	2-14		1		2149
Lumumbastraße	1-9		0		0619
Lumumbastraße	11-15	2-4	0		0609
Lumumbastraße	19-29	12-18	8		9069
Luppenaue	1-65	2-32	7	BöhLindenthalz-Ehrenberg	7419
Luppenstraße	1-9	2-28	7		7161
Lutherstraße	3-15	2-26	1		2020
Lützner Plan	1-19		7		7219
Lützner Plan	2-20		7		7239
Lützner Straße	2-70		7		7161
Lützner Straße	5-49		7		7029
Lützner Straße	53-115		7		7001
Lützner Straße	72-134		7		7140
Lützner Straße	125-179	160-180	7		7239
Lützner Straße	182-214A		7		7219
Lützner Straße	193-505		6		6209
Lützner Straße	218		6		6009
Lützner Straße	396		6		6039
Lützner Straße	450-452		6		6029
Lützner Straße	507-537		5		6311
Lützner Straße	540-544		6		6539
Lützowstraße	1-3A	2-8	8		9029
Lützowstraße	9-17	22-32	8		9039
Lützowstraße	19-25		9		9168
Lützowstraße	33	34-66	9		9171
Lützschenaer Straße	1-17	8-200	7	BöhLindenthalz-Ehrenberg	7439
Macherner Straße	2-12		2		2311
Macherner Straße	16-20		2		2309
Magazingasse	1-11	2-6	0		0019
Magdalenenstraße	1-31		9		9369
Magdalenenstraße	2-30		9		9349
Magdeborner Straße	1-21	2-14	4		4410
Magdeburger Straße	5-13		8		9021
Magdeburger Straße	15-23	2-36	8		9070
Magdeburger Straße	25-37	38-50	8		9009
Magnusstraße	1-27	2-28	9		9329
Mahlmannstraße	1-15		0		0338
Mahlmannstraße	6-10		4		4009
Mahlmannstraße	12-16		4		4011
Maienweg	1-11		3	Holzhausen	3509
Maienweg	2-16		3	Holzhausen	3529
Maiglöckchenweg	1-17	2-18	8	Lützschena-Stahmeln	8229
Maikäferweg	5	6	1		2511
Mainzer Straße	2-4		0		0419
Mainzer Straße	5-19		0		0400
Majakowskistraße	3-77	6-16	9		1301
Majakowskistraße	22-24		9		1359
Malachitstraße	2-26		2	Engelsdorf	2701
Malteserstraße	1		9		9329
Max-Lingner-Straße	8-24		1		1119
Max-Metzger-Straße	1-7	2-6	9		9169
Max-Planck-Straße	1-3	2-10	0		0519
Max-Planck-Straße	5-19	12-50	0		0501
Max-Planck-Straße	53-55	52A-56	0		0519
Max-Pommer-Straße	1	2-4	3		3071
Max-Reger-Straße	1-15	2-22	2	Engelsdorf	2709
Max-Seyfert-Straße	1-9	2-12	2	Engelsdorf	2809
Mechlerstraße	1-5	2-12	0		0601
Mecklenburger Straße	1-11		0		0109
Meininger Ring	1-51	2	6		6029
Meisenweg	1-31	2-10	1	Plaußig	1520
Meißner Straße	1-33	2-64	1		2009
Melanchthonstraße	1-3	4-6	1		2020
Melchthalweg	1-23	2-20	9		9309
Melissenweg	3-29	4-44	9	Wiederitzsch	9520
Melker Weg	1-15	2-10	1		1510
Melscher Straße	1-7	4-22	3		3101
Menckestraße	1-43D	4-56	8		9081
Menckestraße	49-53		8		9070
Mendelejewstraße	2-36		9		1339
Mendelejewstraße	1-75	38-88	9		1301
Mendelssohnstraße	1-11		0		0429
Mendelssohnstraße	2-14		0		0421
Menzingenweg	1-65	2-24	5		5412
Menzingenweg	30		5		5411
Merkwitzer Straße	21A-37	22-36	9	Seehausen	9419
Merseburger Straße	1-3		5		5129
Merseburger Straße	7-25	2-38	5		5119
Merseburger Straße	27-69	38A-58	7		7019
Merseburger Straße	71-75	60-74	7		7029
Merseburger Straße	80-84		7		7161
Merseburger Straße	77-107	88-92	7		7140
Merseburger Straße	94-128		7		7121
Merseburger Straße	111-183	134-138	7		7109
Merseburger Straße	140-148		7		7119
Merseburger Straße	156-166		7		7319
Merseburger Straße	185-189		7		7200
Merseburger Straße	207-263	200-204	7	Rückmarsdorf	7510
Merseburger Straße	240		7	BöhLindenthalz-Ehrenberg	7439
Merseburger Straße	240A-264		7	Burghausen	7501
Messe-Allee	1	2	9	Seehausen	9400
Messe-Allee	25-27	8-10B	9	Wiederitzsch	9519
Meusdorfer Straße	1-61		4		4132
Meusdorfer Straße	2-48		4		4141
Meusdorfer Straße	63-67		4		4131
Meusdorfer Straße	69-71	54-80	4		4159
Michaelisstraße	1-11		0		0619
Michael-Kazmierczak-Straße	3-7	2-22	9		9168
Michael-Kazmierczak-Straße	11-25		9		9169
Michael-Kazmierczak-Straße	27-43	26-42	9		9149
Mierendorffstraße	1-5	2-30	2		2221
Mierendorffstraße	7-67	32-80	2		2249
Milanweg	1-25		7	Rückmarsdorf	7529
Miltenberger Straße	1-5A	2B-8	5		6312
Miltenberger Straße	7-45	10-46	5		6311
Miltitzer Allee	1		6		6489
Miltitzer Allee	5-23	2-22	6		6469
Miltitzer Allee	34-42E		6		6409
Miltitzer Allee	50		6		6539
Miltitzer Dorfstraße	1-9	2-10	7	Miltitz	6602
Miltitzer Dorfstraße	11		7	Miltitz	6601
Miltitzer Straße	1-15	4-16	7	Burghausen	7501
Miltitzer Straße	32-34		7	Rückmarsdorf	7529
Miltitzer Straße	75	80	7	Miltitz	6601
Miltitzer Weg	1-3	2-8	6		6539
Mistelbogen	1-25	2-22	9	Wiederitzsch	9511
Mitschurinring	3-47	2-44	7	BöhLindenthalz-Ehrenberg	7439
Mitschurinstraße	5-35	8-38	9		1339
Mittelgasse	1-9	2-16	3	Liebertwolkwitz	3409
Mittelring	1A-3B	4-44	9	Wiederitzsch	9519
Mittelring	5-39		9	Wiederitzsch	9511
Mittelstraße	1-17	2-26	7	Miltitz	6601
Mittelweg	1	2	2	Engelsdorf	2809
Möbiusplatz	1	2	3		3049
Möbiusstraße	3-5	4	3		3049
Neptunweg	1-29A		6		6519
Neptunweg	2-20		6		6509
Neptunweg	31		6		6539
Nerchauer Straße	1-3	2	3		3049
Nerchauer Straße	3A-5	4-6	3		3059
Nernststraße	1-13	2-14	8		8059
Neubauernstraße	1-27	2-10	5		5309
Neuburghausener Weg	3-29	2-30	7	Burghausen	7501
Neudorfgasse	1	4-16	4		4101
Neue Leipziger Straße	1-39A	34-48	6		6539
Neue Leipziger Straße	51-59	56	7	Miltitz	6602
Neue Linie	20		4		4101
Neue Straße	5-13	2-10	5		5211
Neuenburger Weg	17-43		9		1301
Neuenburger Weg	28-50		9		1319
Neuer Weg	1-9	2-10	9	Wiederitzsch	9520
Neumannstraße	1-17	2-20	2		2231
Neumarkt	1-33	2-30	0		0019
Neunkirchener Straße	1-41		2		2249
Neuscherbitzer Gasse	9	4-16	7	BöhLindenthalz-Ehrenberg	7439
Neustädter Markt	1-7	2-8	1		2009
Neustädter Straße	1	18-24	1		2020
Neustädter Straße	9-19	26-42	1		2009
Neutzscher Straße	1-31	2-20	1		1401
Neutzscher Straße	40-42		1		1421
Newtonstraße	3-11	4	4		4402
Nibelungenring	1-45	2-28	4		4369
Nibelungenring	47-93	30-56	4		4359
Nickelmannweg	1-27	2-28	0		4209
Niederkirchnerstraße	1C-19	2-52	0		0338
Nieritzstraße	1A-9C	4-12	3		3209
Nietzschestraße	2-22		8		9221
Nietzschestraße	3-33		8		9229
Nikischplatz	1-5	4	0		0449
Nikischstraße	3-11	6-10	7	BöhLindenthalz-Ehrenberg	7402
Nikolaikirchhof	3-5	2-4B	0		0019
Nikolai-Rumjanzew-Straße	1-51	2-42	5		5209
Nikolai-Rumjanzew-Straße	100		6		6169
Nikolaistraße	1-59	2-42	0		0019
Nimrodstraße	7-91	10-90	5		5409
Nixenweg	1-27	2-28	0		4209
Nollendorfstraße	1-13	4	7	Rückmarsdorf	7529
Nonnenmühlgasse	1	2	0		0310
Nonnenstraße	1-5F	2-38B	5		5121
Nonnenstraße	7-29	40-48	5		5122
Nonnenstraße	31-39	50-58	5		5129
Nonnenweg	15		5		5007
Norderneyer Weg	1A-11B	2-22B	8		9211
Nordhäuser Weg	7-17	2-12	6		6029
Nordplatz	1-5	2-4	0		0619
Nordplatz	7-9	6-10A	0		0609
Nordplatz	11-13		0		0619
Nordstraße	1-41	32-44	0		0621
Nordstraße	43-57	50-66	0		0619
Nordweg	9	2-12	9	Wiederitzsch	9509
Nürnberger Straße	1-31		0		0211
Nürnberger Straße	16-48		0		0200
Nürnberger Straße	33-45		0		0212
Nußbaumallee	1-17	2-12	3	Holzhausen	3529
Nußbaumweg	1-11	2-12	7	BöhLindenthalz-Ehrenberg	7441
Oberdorfstraße	15-45	10-30	3		3130
Obere Eichstädtstraße	1-33	2-20	3		3168
Obere Mühlenstraße	2-22		7	BöhLindenthalz-Ehrenberg	7429
Obere Mühlenstraße	1-17	26-34	7	BöhLindenthalz-Ehrenberg	7421
Obere Mühlenstraße	19-47	36-58	7	BöhLindenthalz-Ehrenberg	7419
Obere Nordstraße	23-47	18-40	3	Holzhausen	3529
Oberhofer Weg	2-12		6		6029
Oberholzstraße	1-87	2-52	3	Liebertwolkwitz	3439
Oberläuterstraße	1-27	2-26	9		1211
Oberläuterstraße	29-43	28-50	9		1209
Obernaundorfer Straße	8-14		2	Mölkau	2609
Obludastraße	1-47	2-46	1		1109
Ochsenweg	1-15	4-24	7	Burghausen	7501
Odermannstraße	1-19	2-12	7		7161
Oelsnitzer Straße	1-27		1		1421
Oelsnitzer Straße	2		1		1439
Parkstraße	1-53	2-60	3	Holzhausen	3521
Parkstraße	65-81		3	Holzhausen	3529
Parkweg	1-13	2-12	7	BöhLindenthalz-Ehrenberg	7441
Parthenstraße	1-3	2-4	0		0621
Pater-Aurelius-Platz	1-3	2-4	8		8119
Pater-Gordian-Straße	1-19	2-86	8		8102
Pater-Gordian-Straße	21-27	88	8	Lindenthal	8321
Paul-Ernst-Straße	1-23	2-6	8		8121
Paul-Flechsig-Straße	9-25	2-16	3		3301
Paul-Gruner-Straße	1-21C	6-22A	0		0359
Paul-Gruner-Straße	24-46		0		0341
Paul-Gruner-Straße	23-57	48-50	0		0339
Paul-Gruner-Straße	59-65	52-68	0		0320
Paul-Heyse-Straße	1-31	2-30	1		1059
Paul-Heyse-Straße	33-45	32-48	1		1030
Paul-Heyse-Straße	47-61	52-66	1		1029
Paulinengrund	1-17	2-16	8	Lützschena-Stahmeln	8219
Paulinenstraße	1-23	2-16	1		2139
Paulinerweg	1-41		3		3161
Paul-Klöpsch-Straße	1-21	2-28	2	Mölkau	2619
Paul-Küstner-Straße	1-11	2-38	7		7131
Paul-Küstner-Straße	11A-19		7		7119
Paul-Küstner-Straße	23-29		7		7131
Paul-Langheinrich-Straße	5-13	14A-24	7	BöhLindenthalz-Ehrenberg	7401
Paul-Langheinrich-Straße	17		7		7319
Paul-List-Straße	5-27	8-26	0		0212
Paul-Michael-Straße	1-15	2-16	7		7309
Paul-Schneider-Straße	1-7	2-8	9		9349
Paunsdorfer Allee	1		2		2489
Paunsdorfer Allee	40-46		1		2511
Paunsdorfer Straße	1-85	2-18	2	Mölkau	2601
Paunsdorfer Straße	20-70		2	Mölkau	2609
Paunsdorfer Straße	91	80	2		2330
Paußnitzstraße	1-17	4-14	5		5049
Payrstraße	1-7	2-8	3		3219
Peilickestraße	2-4		2		2249
Peilickestraße	3-9	8-24	2		2231
Perlickstraße	1-5		0		0241
Perlpilzweg	1-23		5		5409
Permoserstraße	2		1		1159
Permoserstraße	6-14		2		2311
Permoserstraße	15-21	16-32A	2		2309
Permoserstraße	33		2		2401
Permoserstraße	34-50		2		2321
Permoserstraße	80-90		2		2471
Perrestraße	1-3	2-2A	5		5049
Perthesstraße	3-5	4-16	3		3001
Pestalozzistraße	1-29	10-26	7	BöhLindenthalz-Ehrenberg	7402
Pestalozzistraße	28-50		7	BöhLindenthalz-Ehrenberg	7441
Pestalozzistraße	31-35		7	BöhLindenthalz-Ehrenberg	7421
Pestalozzistraße	37-63	54-72	7	BöhLindenthalz-Ehrenberg	7429
Peter-Breuer-Weg	25	2-6	2		2489
Peterskirchhof	1-3	2-4	0		0019
Peterssteinweg	1-19	8-18	0		0310
Petersstraße	1-43	12-48	0		0019
Pettenkoferstraße	1-3	4-12	7		7309
Pettenkoferstraße	13-27	14-28	7	BöhLindenthalz-Ehrenberg	7401
Petzscher Straße	5-23		9		9339
Petzscher Straße	10-20		9		9369
Pfaffendorfer Straße	1-31		0		0521
Pfaffendorfer Straße	2-28		0		0621
Pfaffendorfer Straße	44-56		0		0619
Pfaffensteinstraße	1-21	2-14	6		6469
Pfaffenweg	1-21	2-24	2	Engelsdorf	2919
Pfarrholzstraße	1-15	2-6	8		8111
Pfarrweg	1-3	2-12	3	Holzhausen	3519
Pfeffingerstraße	5-13	8-18	4		4132
Pfeffingerstraße	17-29	20-26	4		4131
Pfeffingerstraße	35	28-30	4		4159
Pfeilstraße	1-23	2-22	5		5329
Pferdnerstraße	1-23A		8		8119
Pferdnerstraße	25-39	4-32	8		8111
Pfingstweide	1-15		7		7359
Pfingstweide	2-16		7		7329
Pfingstweide	23	18-22	7		7319
Pflaumenallee	4		2		2219
Prager Straße	2-18		0		0211
Prager Straße	13-21		3		3019
Prager Straße	20-28		0		0212
Prager Straße	29-49	34-40	3		3021
Prager Straße	61-153	60-182	3		3089
Prager Straße	163-173		3		3140
Prager Straße	177-193		3		3168
Prager Straße	195-199		3		3161
Prager Straße	200		0		0241
Prager Straße	233-261	210-284	3		3209
Prager Straße	279-325	300-320	3		3219
Prager Straße	324-386		3		3229
Prager Straße	390		3		3319
Prager Straße	401		3	Holzhausen	3521
Prager Straße	417		3	Liebertwolkwitz	3419
Prager Straße	420-440		3	Liebertwolkwitz	3409
Prellerstraße	1-5		8		9081
Prellerstraße	9-55	6-72	8		9069
Prellerstraße	57-63		8		9029
Preußenstraße	1-51	4	3		3211
Preußergäßchen	11-13	2-4	0		0019
Prießnitzstraße	1	22-30	7		7359
Prießnitzstraße	19		7		7131
Prießnitzstraße	21-51		7		7119
Prießnitzstraße	32-44		7		7341
Primavesistraße	1-11	2-10	8		9081
Primelweg	1-21	6-20	2	Mölkau	2601
Prinzenweg	1-25	2-28	0		4221
Prinz-Eugen-Straße	1-35		4		4141
Prinz-Eugen-Straße	41-43	8-56	4		4149
Probsteistraße	1-5A	2-6	5		5048
Probsteistraße	7-19	8-22	5		5049
Probstheidaer Straße	1-11	2-10	4		4141
Probstheidaer Straße	13-29	24-42	4		4149
Probstheidaer Straße	45-47		0		4201
Probstheidaer Straße	55-115		0		4209
Probstheidaer Straße	74-76A		4		4309
Probstheidaer Straße	78		4		4329
Probstheidaer Straße	117-167		0		4221
Prof.-Dr.-Koch-Straße	1-15	2-16	9	Wiederitzsch	9509
Pröttitzer Weg	1-11	2-12	9		9309
Prünstraße	3-11	2-8	1		1401
Püchauer Straße	1-11		2		2311
Püchauer Straße	4-6		2		2309
Pufendorfstraße	1	2	7		7119
Pufendorfstraße	3-23	4-16	7		7341
Puschstraße	9	10	0		0241
Quasnitzer Höhe	1		8	Lützschena-Stahmeln	8229
Quasnitzer Weg	2-10D		8	Lützschena-Stahmeln	8229
Quasnitzer Weg	1-13	12	8	Lützschena-Stahmeln	8219
Queckstraße	1-25	2-18	7		7109
Quedlinburger Straße	1-45		8		9229
Quedlinburger Straße	22-54		8		9221
Quermaße	1-15	2-20	3	Liebertwolkwitz	3439
Querstraße	1-31	16-22	0		0109
Querweg	1-5		8	Lützschena-Stahmeln	8200
Quittenweg	2-4		2	Mölkau	2629
Rabenerstraße	1-11		7		7161
Rabenerstraße	2-12		7		7159
Rabensteinplatz	1-3		0		0211
Rabet	4-6		1		2020
